# arm=p1_qpsk_r4_nc4 env=[MERCURY_P1=1 MERCURY_P1_MOD=qpsk MERCURY_P1_RATE=4 MERCURY_P1_NC=4] FSEL=0 frames=60 grid=[-9 -8 -7 -6 -5 -4 -3.5 -3 -2.5 -2 -1 0]
[P1] CONFIG_0 re-tune: Nc=4 gi=0.2109 (4.50 ms) mod=4 rate=0.2500
[PHY] Config 0 active: M=4 LDPC_rate=0.250 BW=188Hz Nc=4 Nsymb=288 nBits=1536
Modulation: 0  Bitrate: 42.42 bps  Shannon_limit: -4.19 db
# EsN0;BER
-9;0.493073
-8;0.491198
-7;0.491094
-6;0.490573
-5;0.463125
-4;0.134062
-3.5;0.00864583
-3;0
-2.5;0
-2;0
-1;0
0;0
