# arm=p1_qpsk_r4_nc8 env=[MERCURY_P1=1 MERCURY_P1_MOD=qpsk MERCURY_P1_RATE=4 MERCURY_P1_NC=8] FSEL=0 frames=60 grid=[-9 -8 -7 -6 -5 -4 -3.5 -3 -2.5 -2 -1 0]
[P1] CONFIG_0 re-tune: Nc=8 gi=0.2109 (4.50 ms) mod=4 rate=0.2500
[PHY] Config 0 active: M=4 LDPC_rate=0.250 BW=375Hz Nc=8 Nsymb=144 nBits=1536
Modulation: 0  Bitrate: 83.70 bps  Shannon_limit: -4.19 db
# EsN0;BER
-9;0.492135
-8;0.493906
-7;0.492448
-6;0.492865
-5;0.494219
-4;0.39099
-3.5;0.0913542
-3;0.00854167
-2.5;0
-2;0
-1;0
0;0
