clean,13,1,uniform,0,7
clean,13,2,pasls,0,7
clean,13,5,genie,0,7
clean,14,3,genie,0,7
clean,13,5,pasls,0,7
clean,14,2,genie,0,7
clean,13,4,uniform,0,7
clean,14,2,pasls,0,7
clean,14,1,genie,0,7
clean,14,12345,pasls,0,7
clean,14,12345,uniform,0,7
clean,13,3,pasls,0,7
clean,13,12345,uniform,0,7
clean,13,2,uniform,0,7
clean,13,3,uniform,0,7
clean,13,5,uniform,0,7
clean,14,4,uniform,0,7
clean,14,5,uniform,0,7
clean,14,3,uniform,0,7
clean,14,2,uniform,0,7
clean,14,1,uniform,0,7
clean,13,1,genie,0,7
clean,13,3,genie,0,7
clean,13,4,genie,0,7
clean,13,2,genie,0,7
clean,13,12345,pasls,0,7
clean,13,1,pasls,0,7
clean,13,12345,genie,0,7
clean,13,4,pasls,0,7
clean,14,3,pasls,0,7
clean,14,1,pasls,0,7
clean,14,5,genie,0,7
clean,14,12345,genie,0,7
clean,14,4,genie,0,7
clean,14,4,pasls,0,7
clean,14,5,pasls,0,7
clean,15,1,pasls,2,7
clean,16,1,genie,7,7
clean,16,2,genie,7,7
clean,16,3,pasls,7,7
clean,16,3,genie,7,7
clean,16,1,pasls,7,7
clean,15,1,genie,2,7
clean,15,2,pasls,2,7
clean,16,2,pasls,6,7
clean,16,4,pasls,7,7
clean,16,4,genie,7,7
clean,16,5,pasls,7,7
clean,16,5,genie,7,7
clean,16,12345,pasls,7,7
clean,16,12345,genie,7,7
clean,17,1,pasls,7,7
clean,15,3,pasls,3,7
clean,15,1,uniform,0,7
clean,15,2,genie,2,7
clean,17,1,genie,7,7
clean,15,2,uniform,0,7
clean,15,3,genie,3,7
clean,17,2,pasls,7,7
clean,15,5,pasls,3,7
clean,15,4,genie,1,7
clean,15,5,genie,3,7
clean,17,2,genie,7,7
clean,16,1,uniform,0,7
clean,15,3,uniform,0,7
clean,17,3,pasls,7,7
clean,17,3,genie,7,7
clean,16,4,uniform,0,7
clean,17,4,pasls,7,7
clean,17,4,genie,7,7
clean,17,5,pasls,7,7
clean,17,5,genie,7,7
clean,17,4,stack,7,7
clean,15,5,uniform,0,7
clean,15,12345,uniform,0,7
clean,15,4,pasls,1,7
clean,15,12345,genie,1,7
clean,15,12345,pasls,1,7
clean,17,12345,pasls,7,7
clean,18,1,pasls,7,7
clean,18,1,stack,7,7
clean,17,12345,genie,7,7
clean,18,1,genie,7,7
clean,15,4,uniform,0,7
clean,18,2,pasls,7,7
clean,16,2,uniform,0,7
clean,16,3,uniform,0,7
clean,18,2,genie,7,7
clean,17,1,uniform,0,7
clean,18,3,pasls,7,7
clean,18,3,genie,7,7
clean,18,3,stack,7,7
clean,16,12345,uniform,0,7
clean,18,4,pasls,7,7
clean,18,4,genie,7,7
clean,18,4,stack,7,7
clean,18,5,pasls,7,7
clean,16,5,uniform,0,7
clean,18,5,genie,7,7
